periodo,codice_pv,luce_gas,fibra,fotovoltaico,wallbox,clima,storni_luce_gas,storni_fibra
2026-04,SE-MI-001,92,26,3,2,5,1,0
2026-04,SE-RM-001,76,28,3,3,6,0,1
2026-04,SE-TO-001,67,22,3,2,5,1,1
2026-04,SE-NA-001,78,27,3,2,5,3,0
2026-04,SE-BO-001,77,28,4,0,5,4,1
2026-04,SE-FI-001,77,28,3,3,6,3,0
2026-04,SE-PA-001,83,17,2,0,6,0,1
2026-04,SE-MI-002,55,10,1,0,1,3,1
2026-04,SE-RM-002,62,16,1,2,4,2,1
2026-04,SE-RM-003,65,14,1,0,3,2,0
2026-04,SE-VR-001,41,10,2,2,4,3,1
2026-04,SE-BA-001,46,12,2,1,4,3,1
2026-04,SE-CT-001,57,18,0,1,3,3,0
2026-04,SE-GE-001,54,16,1,1,2,3,1
2026-04,SE-PD-001,42,18,1,1,3,0,0
2026-04,SE-BS-001,63,14,0,1,1,0,0
2026-04,SE-AN-001,32,4,0,0,0,2,0
2026-04,SE-PG-001,35,7,1,0,0,1,1
2026-04,SE-CA-001,22,6,1,0,2,0,1
2026-04,SE-TS-001,23,5,1,1,3,0,0
2026-04,SE-RE-001,30,3,0,1,0,0,1
2026-04,SE-LE-001,38,8,0,0,3,1,1
2026-04,SE-PE-001,32,8,0,1,3,2,0
2026-04,SE-VI-001,22,6,1,1,3,2,0
2026-04,SE-SA-001,20,9,0,0,1,0,0
